odometer_value,year_produced,engine_has_gas,engine_capacity,has_warranty,price_usd,is_exchangeable,number_of_photos,up_counter,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,duration_listed,transmission_mechanical,color_blue,color_brown,color_green,color_grey,color_orange,color_other,color_red,color_silver,color_violet,color_white,color_yellow,engine_fuel_gasoline,engine_fuel_hybrid,body_type_coupe,body_type_hatchback,body_type_liftback,body_type_limousine,body_type_minibus,body_type_minivan,body_type_pickup,body_type_sedan,body_type_suv,body_type_universal,body_type_van,drivetrain_front,drivetrain_rear,state_new,state_owned,location_region_Витебская обл.,location_region_Гомельская обл.,location_region_Гродненская обл.,location_region_Минская обл.,location_region_Могилевская обл.,man_Alfa Romeo,man_Audi,man_BMW,man_Buick,man_Cadillac,man_Chery,man_Chevrolet,man_Chrysler,man_Citroen,man_Dacia,man_Daewoo,man_Dodge,man_Fiat,man_Ford,man_Geely,man_Great Wall,man_Honda,man_Hyundai,man_Infiniti,man_Iveco,man_Jaguar,man_Jeep,man_Kia,man_LADA,man_Lancia,man_Land Rover,man_Lexus,man_Lifan,man_Lincoln,man_Mazda,man_Mercedes-Benz,man_Mini,man_Mitsubishi,man_Nissan,man_Opel,man_Peugeot,man_Pontiac,man_Porsche,man_Renault,man_Rover,man_Saab,man_Seat,man_Skoda,man_SsangYong,man_Subaru,man_Suzuki,man_Toyota,man_Volkswagen,man_Volvo,man_ВАЗ,man_ГАЗ,man_ЗАЗ,man_Москвич,man_УАЗ,model_encoded,car_age
257495,2008,0,2.5,0,8700.0,0,10,11,0,1,1,0,1,1,1,0,1,1,13,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8583.322971973123,12
241402,2005,0,3.0,0,7500.0,0,18,18,0,1,0,1,1,1,1,0,1,1,188,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8193.848580756221,15
188000,2006,0,3.0,0,8650.0,0,30,25,0,1,0,0,1,1,0,0,1,1,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8193.848580756221,14
240000,2001,0,2.5,0,3500.0,1,5,42,0,1,0,0,1,0,0,0,1,1,86,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8075.26498713256,19
249448,2002,0,2.5,0,3800.0,1,12,44,0,1,0,0,0,0,0,0,1,0,67,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4727.090930296356,18
250000,2007,0,3.0,0,7200.0,1,7,62,0,1,0,0,1,1,0,0,1,1,204,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8193.848580756221,13
417000,1997,0,2.0,0,1850.0,1,18,23,0,1,0,0,0,1,0,0,0,1,71,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8583.322971973123,23
377000,1999,0,2.5,0,3800.0,0,12,10,0,1,0,0,1,1,0,0,0,1,21,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8583.322971973123,21
300000,1999,0,2.0,0,3000.0,0,6,103,0,0,0,0,0,0,0,0,0,1,581,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6819.914977729431,21
270000,2004,0,2.0,0,6200.0,0,10,21,0,1,1,0,0,0,0,0,0,1,48,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4727.090930296356,16
